review_date,handle,helpfulness_rating,review,sentiment,combined_text,cleaned_text,num_tokens
30-Aug-19,Mariam,6,"Very disappointed in the coffee maker. The first month it was great, then I noticed a small leak from the bottom. The leak worsened and now I have to keep a dish towel under it to avoid staining my countertop. Rather than the leak, the features are wonderful. It was exactly the style I wanted. I had this style before just a different brand and it lasted over 5 years. I expected this brand to be just as good. Would not recommend buying this one. Too late or I would return it as ineffective product.",negative,"Very disappointed in the coffee maker. The first month it was great, then I noticed a small leak from the bottom. The leak worsened and now I have to keep a dish towel under it to avoid staining my countertop. Rather than the leak, the features are wonderful. It was exactly the style I wanted. I had this style before just a different brand and it lasted over 5 years. I expected this brand to be just as good. Would not recommend buying this one. Too late or I would return it as ineffective product.",disappointed coffee maker first month great notice small leak bottom leak worsen keep dish towel avoid stain countertop rather leak feature wonderful exactly style want style different brand last year expect brand good would recommend buy one late would return ineffective product,42
6-Jul-20,Carol Jo,2,"I’ve bought cheaper coffee makers that are better. The dispenser leaks down the back when I press the button to get my coffee. And the only trouble shoot suggestion says that this happens when it’s got a clog from grounds. So, even though it’s brand new, we followed the instructions to clean it, but it just keeps doing it. I’m not sure if this is faulty or just what happens when you buy a coffee-dispensing maker rather than one with a carafe. I’m pretty disappointed because I’d been so excited about getting this coffee maker! Otherwise, the coffee stays piping hot the whole amount of time I set it to (4 hours) and it is easy to use and program. I just wish it didn’t make a giant mess.",negative,"I’ve bought cheaper coffee makers that are better. The dispenser leaks down the back when I press the button to get my coffee. And the only trouble shoot suggestion says that this happens when it’s got a clog from grounds. So, even though it’s brand new, we followed the instructions to clean it, but it just keeps doing it. I’m not sure if this is faulty or just what happens when you buy a coffee-dispensing maker rather than one with a carafe. I’m pretty disappointed because I’d been so excited about getting this coffee maker! Otherwise, the coffee stays piping hot the whole amount of time I set it to (4 hours) and it is easy to use and program. I just wish it didn’t make a giant mess.",buy cheap coffee maker good dispenser leak back press button get coffee trouble shoot suggestion say happen get clog ground even though brand new follow instruction clean keep sure faulty happen buy coffee dispensing maker rather one carafe pretty disappointed excited get coffee maker otherwise coffee stay pip hot whole amount time set hour easy use program wish make giant mess,61
14-Apr-16,Susie,13,"It has been a long time since I have been so disappointed in a product.  I""ll cut to the chase:  1)  The plastic is flimsy, and the coffeemaker is so lightweight that when you push the button to dispense the coffee, the whole thing slides on the counter (even with the rubber stoppers inserted on the bottom--maybe because my counter is granite, idk).  2)  It is so difficult to see the coffee when it is dispensing, so you have to bend down to make sure you don't overflow the cup (maybe because I'm 5'9"" idk).  3)  MY TOP COMPLAINT--if you set the ""keep warm"" setting, you will hear your coffee BOILING, for hours.  Not only does this make the coffee taste bitter, but it is way too hot to drink once you dispense it.  Anyway, I wanted to return it, but missed the window.  I spent the money and purchased a Cuisinart Coffee on Demand ($100) and it is worth every penny!",negative,"It has been a long time since I have been so disappointed in a product.  I""ll cut to the chase:  1)  The plastic is flimsy, and the coffeemaker is so lightweight that when you push the button to dispense the coffee, the whole thing slides on the counter (even with the rubber stoppers inserted on the bottom--maybe because my counter is granite, idk).  2)  It is so difficult to see the coffee when it is dispensing, so you have to bend down to make sure you don't overflow the cup (maybe because I'm 5'9"" idk).  3)  MY TOP COMPLAINT--if you set the ""keep warm"" setting, you will hear your coffee BOILING, for hours.  Not only does this make the coffee taste bitter, but it is way too hot to drink once you dispense it.  Anyway, I wanted to return it, but missed the window.  I spent the money and purchased a Cuisinart Coffee on Demand ($100) and it is worth every penny!",long time since disappointed product cut chase plastic flimsy coffeemaker lightweight push button dispense coffee whole thing slide counter even rubber stopper insert bottom maybe counter granite idk difficult see coffee dispense bend make sure overflow cup maybe idk top complaint set keep warm setting hear coffee boiling hour make coffee taste bitter way hot drink dispense anyway want return miss window spend money purchase cuisinart coffee demand 100 worth every penny,72
22-Jan-20,JohnG,One,"We've had several of this model coffee maker for over 13 years, and we' like the design and functionality.  We like it so well that we ordered another one to have one in our new motor home.  When the new one came, we thought we'd use it in the house and rotate the older one to the motor home.  But the first few times we used it, it would leak coffee down the front below the outlet, running down the side of the cup being filled, eventually filling the drip tray and finally running onto the counter.  Okay, maybe a defective unit, so we returned it to Amazon and got a replacement. But the latest replacement had the same dripping problem!  So we reruned it and will try a different style coffee maker.  Can no longer recommend this one!",negative,"We've had several of this model coffee maker for over 13 years, and we' like the design and functionality.  We like it so well that we ordered another one to have one in our new motor home.  When the new one came, we thought we'd use it in the house and rotate the older one to the motor home.  But the first few times we used it, it would leak coffee down the front below the outlet, running down the side of the cup being filled, eventually filling the drip tray and finally running onto the counter.  Okay, maybe a defective unit, so we returned it to Amazon and got a replacement. But the latest replacement had the same dripping problem!  So we reruned it and will try a different style coffee maker.  Can no longer recommend this one!",several model coffee maker 13 year like design functionality like well order another one one new motor home new one come think use house rotate old one motor home first time use would leak coffee front outlet run side cup fill eventually fill drip tray finally run onto counter okay maybe defective unit return amazon get replacement late replacement dripping problem rerun try different style coffee maker longer recommend one,70
5-Apr-20,CFrieberg,,"We purchased this type because the concept of a brew station without a carafe and a dispenser button was intriguing.  However, as with all coffeemakers that we have ever purchased, this one is loaded with disappointment. ""12 cups"" is not actually 12 cups.  The actual capacity of the reservoir is only 64 oz. (8 true cups). So beware if you are looking to brew an actual 12 cup pot. The more disconcerting issue though, is that the unit leaks. When we woke up, more than half the reservoir was missing water, and it was all over the counter.  We cannot find where the leak is coming from, but after every brew cycle, we find a puddle of water beneath the unit.  I put a towel under it for now, but I will be on the lookout for yet another model.  Why is it so difficult for consumers to purchase a product that is not falsely advertised and actually WORKS?!",negative,"We purchased this type because the concept of a brew station without a carafe and a dispenser button was intriguing.  However, as with all coffeemakers that we have ever purchased, this one is loaded with disappointment. ""12 cups"" is not actually 12 cups.  The actual capacity of the reservoir is only 64 oz. (8 true cups). So beware if you are looking to brew an actual 12 cup pot. The more disconcerting issue though, is that the unit leaks. When we woke up, more than half the reservoir was missing water, and it was all over the counter.  We cannot find where the leak is coming from, but after every brew cycle, we find a puddle of water beneath the unit.  I put a towel under it for now, but I will be on the lookout for yet another model.  Why is it so difficult for consumers to purchase a product that is not falsely advertised and actually WORKS?!",purchase type concept brew station without carafe dispenser button intrigue however coffeemakers ever purchase one load disappointment 12 cup actually 12 cup actual capacity reservoir 64 oz true cup beware look brew actual 12 cup pot disconcerting issue though unit leak wake half reservoir miss water counter cannot find leak come every brew cycle find puddle water beneath unit put towel lookout yet another model difficult consumer purchase product falsely advertised actually work,73
24-Apr-21,rac rach,,Up Until 5 years ago I was never a coffee drinker (thanks to my first kid). I had no idea what features to look for in a coffee maker. I bought this exact model back in 2016. I've retired it as of today because (1) coffee comes out warm (2) leaks at the bottom (3) despite the bold button coffee still tastes weak unless you use a lot more coffee (4) even though I clean it by running it through with vinegar it still looks dirty. Unless you have small hands to fit inside the reservoir there will still be a film of coffee. I'm only sad to part with it only because it's been with me for many moves and it was my saving grace for all those sleepless nights because of my kids. But this mama of 3 needs her coffee to stay hot and needs less cleaning to do.,negative,Up Until 5 years ago I was never a coffee drinker (thanks to my first kid). I had no idea what features to look for in a coffee maker. I bought this exact model back in 2016. I've retired it as of today because (1) coffee comes out warm (2) leaks at the bottom (3) despite the bold button coffee still tastes weak unless you use a lot more coffee (4) even though I clean it by running it through with vinegar it still looks dirty. Unless you have small hands to fit inside the reservoir there will still be a film of coffee. I'm only sad to part with it only because it's been with me for many moves and it was my saving grace for all those sleepless nights because of my kids. But this mama of 3 needs her coffee to stay hot and needs less cleaning to do.,year ago never coffee drinker thanks first kid idea feature look coffee maker buy exact model back 2016 retire today coffee come warm leak bottom despite bold button coffee still taste weak unless use lot coffee even though clean run vinegar still look dirty unless small hand fit inside reservoir still film coffee sad part many move saving grace sleepless night kid mama need coffee stay hot need less cleaning,70
7-Sep-20,victorywine,,"I bought this to replace a carafe-free H-B I bought in 2006 that finally gave up the ghost after 13 years of dutiful service. I wanted to stay with H-B due to that proven reliability. I was really happy with this unit until about the last 2 weeks, my only complaint being that the coffee wasn't as hot as I like it until it sat in the tank for a few minutes.  But lately it doesn't properly transfer all the water from the reservoir to the tank, so I end up with less coffee that's way to strong.  The only way to make it finish the job is to restart the unit once or twice per brew, which completely renders the scheduling feature useless. I make about 6-8 cup pots every morning.  I've filled this with DI water since I bought it, and running liquid line cleaner through it hasn't helped.  So I think this is just a bad unit.  I am now looking for a replacement, and I cannot recommend anyone buy this coffee maker.",negative,"I bought this to replace a carafe-free H-B I bought in 2006 that finally gave up the ghost after 13 years of dutiful service. I wanted to stay with H-B due to that proven reliability. I was really happy with this unit until about the last 2 weeks, my only complaint being that the coffee wasn't as hot as I like it until it sat in the tank for a few minutes.  But lately it doesn't properly transfer all the water from the reservoir to the tank, so I end up with less coffee that's way to strong.  The only way to make it finish the job is to restart the unit once or twice per brew, which completely renders the scheduling feature useless. I make about 6-8 cup pots every morning.  I've filled this with DI water since I bought it, and running liquid line cleaner through it hasn't helped.  So I think this is just a bad unit.  I am now looking for a replacement, and I cannot recommend anyone buy this coffee maker.",buy replace carafe free buy 2006 finally give ghost 13 year dutiful service want stay due proven reliability really happy unit last week complaint coffee hot like sit tank minute lately properly transfer water reservoir tank end less coffee way strong way make finish job restart unit twice per brew completely render scheduling feature useless make cup pot every morning fill di water since buy run liquid line clean help think bad unit look replacement cannot recommend anyone buy coffee maker,81
13-Dec-20,Grateful,,"Such a shame! I had this product for 2 years and loved it before it leaked all over my counter and floor! Cleaning it did nothing. Well, decided to get another one and this one is leaking after 10 days!!! I'm reading the same from many reviewers. What's up Hamilton Beach??  Why are you continuing to sell this? I tried another one of your models before getting this one. Pure junk! Sorry HB, you've lost my respect and business! I won't be getting any more products from you!! I really loved so many features on this coffee maker too. It's just a shame you refused to fix a simple leak!! I was using a turkey baster to remove all the accumulated coffee by the Keep Warm Plate under the coffee tank.  It's such a shame! The concept was great, the execution was pure trash!!",negative,"Such a shame! I had this product for 2 years and loved it before it leaked all over my counter and floor! Cleaning it did nothing. Well, decided to get another one and this one is leaking after 10 days!!! I'm reading the same from many reviewers. What's up Hamilton Beach??  Why are you continuing to sell this? I tried another one of your models before getting this one. Pure junk! Sorry HB, you've lost my respect and business! I won't be getting any more products from you!! I really loved so many features on this coffee maker too. It's just a shame you refused to fix a simple leak!! I was using a turkey baster to remove all the accumulated coffee by the Keep Warm Plate under the coffee tank.  It's such a shame! The concept was great, the execution was pure trash!!",shame product year love leak counter floor clean nothing well decide get another one one leak 10 day read many reviewer hamilton beach continue sell tried another one model get one pure junk sorry hb lose respect business get product really love many feature coffee maker shame refuse fix simple leak use turkey baster remove accumulate coffee keep warm plate coffee tank shame concept great execution pure trash,68
6-Jun-18,HappyInNebrasky,3,"This thing is TERRIBLE! I ordered it because I like the idea of not having to deal with a carafe and the length that it is supposed to keep your coffee hot. What's not mentioned is how LOUD this thing is. It gurgles and steams constantly. I thought I could deal with that, but then the buttons started to wear off. NOW it has started leaking all over my counter and floor. Complete waste if money. None of these things (except for the noise) started happening within the return period. I'm completely bummed with the quality of this product, and expected something much better from this company. Save your money, folks. Unless you want to be randomly mopping up leaking coffee every day.",negative,"This thing is TERRIBLE! I ordered it because I like the idea of not having to deal with a carafe and the length that it is supposed to keep your coffee hot. What's not mentioned is how LOUD this thing is. It gurgles and steams constantly. I thought I could deal with that, but then the buttons started to wear off. NOW it has started leaking all over my counter and floor. Complete waste if money. None of these things (except for the noise) started happening within the return period. I'm completely bummed with the quality of this product, and expected something much better from this company. Save your money, folks. Unless you want to be randomly mopping up leaking coffee every day.",thing terrible order like idea deal carafe length suppose keep coffee hot mention loud thing gurgle steam constantly think could deal button start wear start leak counter floor complete waste money none thing except noise start happen within return period completely bum quality product expect something much well company save money folk unless want randomly mop leak coffee every day,60
3-Jan-21,Ann,,"I've owned at least 5-6 of this exact coffee maker over the years.  I purchased this one, because it looked a little different.  Other then being mostly black plastic, it had the ss full front.  Unfortunately, the coffee dribbles down the front of the machine when you fill your coffee cup, which makes me have to wipe off the ss area every time I fill my cup.  This machine is obviously defective, but if I had purchased the older/cheaper model of this machine(that doesn't have the ss front) I probably wouldn't have noticed the dribbling because this area is all black plastic.  Needless to say, I'm returning it.  I've decided to purchase the Cuisinart brand, carafe-less coffee maker....well see how that one works out.",negative,"I've owned at least 5-6 of this exact coffee maker over the years.  I purchased this one, because it looked a little different.  Other then being mostly black plastic, it had the ss full front.  Unfortunately, the coffee dribbles down the front of the machine when you fill your coffee cup, which makes me have to wipe off the ss area every time I fill my cup.  This machine is obviously defective, but if I had purchased the older/cheaper model of this machine(that doesn't have the ss front) I probably wouldn't have noticed the dribbling because this area is all black plastic.  Needless to say, I'm returning it.  I've decided to purchase the Cuisinart brand, carafe-less coffee maker....well see how that one works out.",own least exact coffee maker year purchase one look little different mostly black plastic ss full front unfortunately coffee dribble front machine fill coffee cup make wipe ss area every time fill cup machine obviously defective purchase old cheap model machine s front probably notice dribbling area black plastic needless say return decide purchase cuisinart brand carafe less coffee maker well see one work,64
12-Mar-21,vince Lombardi,,"I clean the coffee tank every night to make sure their is no debria inside, when I move to coffee pot from under the counter I have coffee on the counter top under the pot, when you get the coffee out, it doesn't seem to be leaking but later I have more coffee all over the counter. I am told because the window on returning it has closed I will not get a complete refund. This coffee pot is junk, save your money Amazon was no help, the support rep must be working from home, the noise in the background was so bad you could not understand him he spoke broken English as well. Tried calling Hamilton Beach what a joke closed due to the covid virus, never again will I purchase their product.",negative,"I clean the coffee tank every night to make sure their is no debria inside, when I move to coffee pot from under the counter I have coffee on the counter top under the pot, when you get the coffee out, it doesn't seem to be leaking but later I have more coffee all over the counter. I am told because the window on returning it has closed I will not get a complete refund. This coffee pot is junk, save your money Amazon was no help, the support rep must be working from home, the noise in the background was so bad you could not understand him he spoke broken English as well. Tried calling Hamilton Beach what a joke closed due to the covid virus, never again will I purchase their product.",clean coffee tank every night make sure debria inside move coffee pot counter coffee counter top pot get coffee seem leak later coffee counter tell window return close get complete refund coffee pot junk save money amazon help support rep must work home noise background bad could understand speak broken english well tried call hamilton beach joke close due covid virus never purchase product,64
12-Nov-20,James,,"I had the last one for a long time, it was tough to throw out but a poor design caused the dispenser to fail like many others noted in their reviews.  I ordered another and it came and instantly leaked so I returned it.  Ordered one more and now after 6 months the gasket on the resevoir failed and caused coffee to leak all over inside it and on the counter, the unit is now failed as a whole and I am left with a coffee pot that cost 10 per month to use until it failed.  I contacted customer support and got an email back stating that the request was received but I never heard back.  If their quality and customer service wasn't embarassingly bad, this would be a five star review.",negative,"I had the last one for a long time, it was tough to throw out but a poor design caused the dispenser to fail like many others noted in their reviews.  I ordered another and it came and instantly leaked so I returned it.  Ordered one more and now after 6 months the gasket on the resevoir failed and caused coffee to leak all over inside it and on the counter, the unit is now failed as a whole and I am left with a coffee pot that cost 10 per month to use until it failed.  I contacted customer support and got an email back stating that the request was received but I never heard back.  If their quality and customer service wasn't embarassingly bad, this would be a five star review.",last one long time tough throw poor design cause dispenser fail like many others note review order another come instantly leak returned order one month gasket resevoir fail cause coffee leak inside counter unit fail whole leave coffee pot cost 10 per month use fail contact customer support get email back state request receive never hear back quality customer service embarassingly bad would five star review,66
