review_date,handle,helpfulness_rating,review,sentiment,combined_text,cleaned_text,num_tokens
10-Jun-21,Edward Hauser,,The design of this particular model that holds the coffee above and has the push button to release coffee into a cup is flawed. As an engineer I can see that the plastic dispenser needs a lip to prevent water tension similar to what happens when rain runs off a roof into a gutter. If done improperly the water attaches to the underside of the surface and runs back. When this happens on this model the coffee runs down the area where the button is toward the overflow. Another issue is a gap that allows that coffee to bypass the overflow and it runs onto the counter. All of these will leak unless they are redesigned. Read all the reviews pertaining to leaks. They are experiencing the same thing I am without understanding why.,positive,The design of this particular model that holds the coffee above and has the push button to release coffee into a cup is flawed. As an engineer I can see that the plastic dispenser needs a lip to prevent water tension similar to what happens when rain runs off a roof into a gutter. If done improperly the water attaches to the underside of the surface and runs back. When this happens on this model the coffee runs down the area where the button is toward the overflow. Another issue is a gap that allows that coffee to bypass the overflow and it runs onto the counter. All of these will leak unless they are redesigned. Read all the reviews pertaining to leaks. They are experiencing the same thing I am without understanding why.,design particular model hold coffee push button release coffee cup flaw engineer see plastic dispenser need lip prevent water tension similar happen rain run roof gutter do improperly water attach underside surface run back happen model coffee run area button toward overflow another issue gap allow coffee bypass overflow run onto counter leak unless redesign read review pertain leak experience thing without understand,63
8-Sep-16,Donald R. Whittington,3,"Our coffee maker gave up the ghost a while back, and I was forced to look for an alternative. I intended to use Amazon for research to see what was out there but the combination of price and same day delivery for Prime members made this too hard to resist.  I love this machine. It brews great coffee, it is easy to set up, and delivers a cup on demand with no carafe and no expensive, planet-contaminating pods. Despite the claims that there is ""no burned coffee taste"" it is obvious that flavor deteriorates and grows more harsh after the first hour or so, but not nearly so quickly as it did with my old carafe system. A nice surprise is that the design is such there is no wet coffee ground build-up in hard to reach creases around the basket, ensuring that everything stays fresh and clean over time. Well done, Hamilton Beach. I am a fan.",positive,"Our coffee maker gave up the ghost a while back, and I was forced to look for an alternative. I intended to use Amazon for research to see what was out there but the combination of price and same day delivery for Prime members made this too hard to resist.  I love this machine. It brews great coffee, it is easy to set up, and delivers a cup on demand with no carafe and no expensive, planet-contaminating pods. Despite the claims that there is ""no burned coffee taste"" it is obvious that flavor deteriorates and grows more harsh after the first hour or so, but not nearly so quickly as it did with my old carafe system. A nice surprise is that the design is such there is no wet coffee ground build-up in hard to reach creases around the basket, ensuring that everything stays fresh and clean over time. Well done, Hamilton Beach. I am a fan.",coffee maker give ghost back force look alternative intend use amazon research see combination price day delivery prime member make hard resist love machine brew great coffee easy set delivers cup demand carafe expensive planet contaminate pod despite claim burned coffee taste obvious flavor deteriorates grow harsh first hour nearly quickly old carafe system nice surprise design wet coffee ground build hard reach crease around basket ensure everything stay fresh clean time well do hamilton beach fan,77
26-Oct-19,Callie Betz,One,"Just received today, already brewed and LOVE the easy of the design!! Can do a cup, 4 or a whole pot. I purchased because of the specified design attention to the water reservoir and lack of glass carafe. My mother and I have medical issues and being able to remove a plastic water container to carry to the sink and back, is worth the price alone, but so many added benefits come with the one handed dispensary and ability to auto shut of the heating element. Only thing I can think of to improve this product is adding lighting to the dispenser due to the black background it is difficult to see the pour into a dark cup. So happy I chose this coffee maker and I am only on my first cup!! I am sure This will be in my family for many years to come",positive,"Just received today, already brewed and LOVE the easy of the design!! Can do a cup, 4 or a whole pot. I purchased because of the specified design attention to the water reservoir and lack of glass carafe. My mother and I have medical issues and being able to remove a plastic water container to carry to the sink and back, is worth the price alone, but so many added benefits come with the one handed dispensary and ability to auto shut of the heating element. Only thing I can think of to improve this product is adding lighting to the dispenser due to the black background it is difficult to see the pour into a dark cup. So happy I chose this coffee maker and I am only on my first cup!! I am sure This will be in my family for many years to come",receive today already brew love easy design cup whole pot purchase specify design attention water reservoir lack glass carafe mother medical issue able remove plastic water container carry sink back worth price alone many add benefit come one hand dispensary ability auto shut heating element thing think improve product add light dispenser due black background difficult see pour dark cup happy chose coffee maker first cup sure family many year come,71
13-Apr-21,Grandma,,I really love this coffee maker no cafe to clean or worry about breaking that thing it’s really simple to use no water spillage just two simple steps to use add coffee to brew cup and filled up the water holder and hit the on button and you will have a hot and steamy cup of coffee within 3 minutes but it not to be strong arm because the push button to dispense the coffee can’t handle that it is the reason I had to buy another one I had some family members here for extended stay and they kept trying to get the last drop of coffee by pushing the button so hard it broke and started leaking so I had to buy another brewer but this time I got the extended warranty for it plus I have been using this type of coffee brewer for 15 years,positive,I really love this coffee maker no cafe to clean or worry about breaking that thing it’s really simple to use no water spillage just two simple steps to use add coffee to brew cup and filled up the water holder and hit the on button and you will have a hot and steamy cup of coffee within 3 minutes but it not to be strong arm because the push button to dispense the coffee can’t handle that it is the reason I had to buy another one I had some family members here for extended stay and they kept trying to get the last drop of coffee by pushing the button so hard it broke and started leaking so I had to buy another brewer but this time I got the extended warranty for it plus I have been using this type of coffee brewer for 15 years,really love coffee maker cafe clean worry break thing really simple use water spillage two simple step use add coffee brew cup fill water holder hit button hot steamy cup coffee within minute strong arm push button dispense coffee handle reason buy another one family member extend stay keep try get last drop coffee push button hard break start leak buy another brewer time get extended warranty plus use type coffee brewer 15 year,74
8-Aug-16,Ron M.,6,I bought the 48464 in 2009 and it is still going strong in 2016 so I could never ask for anything more. I bought another one last winter so I have a backup but it is still sitting in it's box awaiting use. I think I got my monies worth. Update July 2017: Still going strong so it might outlive me Still going strong Oct. 2017. Still working Jan 2019 (on/off light doesn't light anymore but still brews coffee),positive,I bought the 48464 in 2009 and it is still going strong in 2016 so I could never ask for anything more. I bought another one last winter so I have a backup but it is still sitting in it's box awaiting use. I think I got my monies worth. Update July 2017: Still going strong so it might outlive me Still going strong Oct. 2017. Still working Jan 2019 (on/off light doesn't light anymore but still brews coffee),buy 48464 2009 still go strong 2016 could never ask anything buy another one last winter backup still sit box await use think get monies worth update july 2017 still go strong might outlive still go strong oct 2017 still work jan 2019 light light anymore still brew coffee,49
12-Sep-16,datsundriver,4," I have been using this machine for a month and I like it VERY MUCH. January 2018:  A year and a half later - still liking it. I had never used a brewstation before and it did take me a few days to get acquainted... it's different. Easy to clean, has programmable features, no carafe, doesn't drip, coffee tastes great, keeps warm on a programmable timer - this eliminates  ""burned"" coffee.  Makes Iced Coffee too but I have not tried this yet. Be aware that this unit is 15"" high - taller than the typical coffee maker - this could be a space consideration for some folks.",positive," I have been using this machine for a month and I like it VERY MUCH. January 2018:  A year and a half later - still liking it. I had never used a brewstation before and it did take me a few days to get acquainted... it's different. Easy to clean, has programmable features, no carafe, doesn't drip, coffee tastes great, keeps warm on a programmable timer - this eliminates  ""burned"" coffee.  Makes Iced Coffee too but I have not tried this yet. Be aware that this unit is 15"" high - taller than the typical coffee maker - this could be a space consideration for some folks.",use machine month like much january 2018 year half later still like never use brewstation take day get acquaint different easy clean programmable feature carafe drip coffee taste great keep warm programmable timer eliminate burned coffee make iced coffee try yet aware unit 15 high taller typical coffee maker could space consideration folk,53
3-May-19,Sheila,,"I bought this for our church.  It is mostly used by our janitors, kitchen staff and small groups who meet there.  The coffee tastes absolutely delicious (we used Folgers regular Columbian.)  I hope that the staff will clean it when needed, as I am not in that section of the parish that often.  I don't think it has been cleaned yet, and I cannot find the coffee cleaner in our local grocery store.  I have been wondering about getting a jug of white vinegar to leave near the pot, but I don't know if anyone will use it. (This is why I am ""neutral on ""easy to clean.""  I need to read the directions more thoroughly to learn if there is a  quick way to empty leftover coffee from the pot.  Right now, I simply drain it into cups.  All in all  this is a great machine so far and I would recommend it!",positive,"I bought this for our church.  It is mostly used by our janitors, kitchen staff and small groups who meet there.  The coffee tastes absolutely delicious (we used Folgers regular Columbian.)  I hope that the staff will clean it when needed, as I am not in that section of the parish that often.  I don't think it has been cleaned yet, and I cannot find the coffee cleaner in our local grocery store.  I have been wondering about getting a jug of white vinegar to leave near the pot, but I don't know if anyone will use it. (This is why I am ""neutral on ""easy to clean.""  I need to read the directions more thoroughly to learn if there is a  quick way to empty leftover coffee from the pot.  Right now, I simply drain it into cups.  All in all  this is a great machine so far and I would recommend it!",buy church mostly use janitor kitchen staff small group meet coffee taste absolutely delicious use folgers regular columbian hope staff clean need section parish often think clean yet cannot find coffee cleaner local grocery store wonder get jug white vinegar leave near pot know anyone use neutral easy clean need read direction thoroughly learn quick way empty leftover coffee pot right simply drain cup great machine far would recommend,69
8-Apr-21,funincolorado,,I absolutely love this coffee maker! I had this exact one for several years and I used it daily. It eventually just quit working but it lasted way longer than I ever thought it would! I did a Google image search and found this on Amazon and I was so excited! What I really like about this coffee maker is that you don’t have to worry about a dingy looking carafe that you need to wash all the time and it also keeps the coffee tasting really fresh. I just am one of those people that cannot drink coffee if it tastes old!! I love this coffee maker and when this one quits working I hope that I can buy another one just like it!,positive,I absolutely love this coffee maker! I had this exact one for several years and I used it daily. It eventually just quit working but it lasted way longer than I ever thought it would! I did a Google image search and found this on Amazon and I was so excited! What I really like about this coffee maker is that you don’t have to worry about a dingy looking carafe that you need to wash all the time and it also keeps the coffee tasting really fresh. I just am one of those people that cannot drink coffee if it tastes old!! I love this coffee maker and when this one quits working I hope that I can buy another one just like it!,absolutely love coffee maker exact one several year use daily eventually quit work last way longer ever think would google image search find amazon excited really like coffee maker worry dingy look carafe need wash time also keep coffee taste really fresh one people cannot drink coffee taste old love coffee maker one quit work hope buy another one like,60
19-Dec-19,Goofy Gadget Guy,One,"The coffee maker is decent quality and dispensing concept is perfect since it eliminates the breakable carafe. But after a few months of use a loud buzzing noise started when the unit was turned on to brew. Apparently, this symptom is/was experienced by many people in their negative reviews but no solution was offered by either the manufacturer or the users. Well, I did my own investigation: the buzzing is due to condensed water being vaporized around the edges of the hot heating element. The condensed water accumulates from steam produced at the top, where the hot water is directed over the coffee basket, and dribbles down the back to end up in the bottom recesses. It's a design problem that the manufacturer didn't consider or didn't know how to fix. In lieu of a redesign solution, you will need to dump or sop up the water in the bottom chamber as part of the routine cleaning and maintenance.",positive,"The coffee maker is decent quality and dispensing concept is perfect since it eliminates the breakable carafe. But after a few months of use a loud buzzing noise started when the unit was turned on to brew. Apparently, this symptom is/was experienced by many people in their negative reviews but no solution was offered by either the manufacturer or the users. Well, I did my own investigation: the buzzing is due to condensed water being vaporized around the edges of the hot heating element. The condensed water accumulates from steam produced at the top, where the hot water is directed over the coffee basket, and dribbles down the back to end up in the bottom recesses. It's a design problem that the manufacturer didn't consider or didn't know how to fix. In lieu of a redesign solution, you will need to dump or sop up the water in the bottom chamber as part of the routine cleaning and maintenance.",coffee maker decent quality dispense concept perfect since eliminate breakable carafe month use loud buzzing noise start unit turn brew apparently symptom experience many people negative review solution offer either manufacturer user well investigation buzzing due condensed water vaporize around edge hot heating element condensed water accumulates steam produce top hot water direct coffee basket dribble back end bottom recess design problem manufacturer consider know fix lieu redesign solution need dump sop water bottom chamber part routine cleaning maintenance,79
11-Feb-20,M. Fleming,,"This didn’t get all the stars for these reasons. This replaced the same type in Cuisinart. If the unit is moved at all after filling with water and before brewing it leaks on to the counter. (No it’s not overfilled). It also leaks just a drop or two after removing the filled cup. This is irritating, but I have to live with it if I am to keep this machine. Next, when the brewed coffee gets down to about four cups it is so hot you cannot drink it for ten minutes. Some folks may like that just short of boiling, I don’t. It is one more item to deal with. The brewed coffee is awesome! The machine is extremely easy to clean. With the timer set it is always ready to go in the morning.",positive,"This didn’t get all the stars for these reasons. This replaced the same type in Cuisinart. If the unit is moved at all after filling with water and before brewing it leaks on to the counter. (No it’s not overfilled). It also leaks just a drop or two after removing the filled cup. This is irritating, but I have to live with it if I am to keep this machine. Next, when the brewed coffee gets down to about four cups it is so hot you cannot drink it for ten minutes. Some folks may like that just short of boiling, I don’t. It is one more item to deal with. The brewed coffee is awesome! The machine is extremely easy to clean. With the timer set it is always ready to go in the morning.",get star reason replace type cuisinart unit move fill water brew leak counter overfill also leak drop two remove filled cup irritate live keep machine next brew coffee get four cup hot cannot drink ten minute folk may like short boil one item deal brewed coffee awesome machine extremely easy clean timer set always ready go morning,57
21-Aug-19,Aa. in NorCal,,"I replaced my 5 year old maker (same model) with the new one, I love the separated reservoir! and the iced coffee feature is nice too! This coffee maker is simple to use and very reliable in my experience. I use it every single day and my old one lasted 5 years. that's literally less than $0.03 a day! Add average cost for high quality coffee beans/bags bought in 5 years ... $0.40 a day for a grand total of $0.43 a day for a FULL carafe (or in this case reservoir) of coffee!!  Take that Starcrooks!! my ONLY beef with this model is it would be really great to have skid resistant feet on it! if its not against a wall it slides away from you while filling your cup... But, for the value I'll live with this inconvenience.",positive,"I replaced my 5 year old maker (same model) with the new one, I love the separated reservoir! and the iced coffee feature is nice too! This coffee maker is simple to use and very reliable in my experience. I use it every single day and my old one lasted 5 years. that's literally less than $0.03 a day! Add average cost for high quality coffee beans/bags bought in 5 years ... $0.40 a day for a grand total of $0.43 a day for a FULL carafe (or in this case reservoir) of coffee!!  Take that Starcrooks!! my ONLY beef with this model is it would be really great to have skid resistant feet on it! if its not against a wall it slides away from you while filling your cup... But, for the value I'll live with this inconvenience.",replace year old maker model new one love separated reservoir iced coffee feature nice coffee maker simple use reliable experience use every single day old one last year literally less 03 day add average cost high quality coffee bean bag buy year 40 day grand total 43 day full carafe case reservoir coffee take starcrooks beef model would really great skid resistant foot wall slide away fill cup value live inconvenience,71
14-Dec-20,Timothy J. Hartley,,We had to replace our old Mr. Coffee with something that was just as good and this has worked perfect.  No bulky odd shaped pitcher to clean.  Easy to see bright display.  We haven't done ice coffee yet but I'm sure we will this summer.  The only downside is somedays require a BIG coffee mug and the height is an issue but not a deal breaker.  We have used mostly bottled spring water to help keep it clean inside.  The water pitcher looks really good still.  The only downside I see is that there is a burned coffee stain on the metal plate that transfers heat from the maker base to the 'coffee pot'  It doesn't seem to be getting any worse so I think it is just the hottest point of the plate.  We leave it on from 2 to 4 hours almost every day (now going on 2 months) and usually less than 4 cups for most of that time.  Overall very pleased and very deserving of 5 stars.,positive,We had to replace our old Mr. Coffee with something that was just as good and this has worked perfect.  No bulky odd shaped pitcher to clean.  Easy to see bright display.  We haven't done ice coffee yet but I'm sure we will this summer.  The only downside is somedays require a BIG coffee mug and the height is an issue but not a deal breaker.  We have used mostly bottled spring water to help keep it clean inside.  The water pitcher looks really good still.  The only downside I see is that there is a burned coffee stain on the metal plate that transfers heat from the maker base to the 'coffee pot'  It doesn't seem to be getting any worse so I think it is just the hottest point of the plate.  We leave it on from 2 to 4 hours almost every day (now going on 2 months) and usually less than 4 cups for most of that time.  Overall very pleased and very deserving of 5 stars.,replace old mr coffee something good work perfect bulky odd shape pitcher clean easy see bright display do ice coffee yet sure summer downside somedays require big coffee mug height issue deal breaker use mostly bottled spring water help keep clean inside water pitcher look really good still downside see burn coffee stain metal plate transfer heat maker base coffee pot seem get bad think hot point plate leave hour almost every day go month usually less cup time overall pleased deserving star,83
